marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_model_display_name,vehicle_transmission_type,kms,price,state,year
2006 Hyundai Accent,blue,PETROL,HYUNDAI,ACCENT,AUTOMATIC,210806,3900,SA,2006
2008 Nissan X-Trail,black,PETROL,NISSAN,X-TRAIL,AUTOMATIC,245000,8900,VIC,2008
2005 Toyota CROWN ATHLETE GRS184,white,PETROL,TOYOTA,CROWN,AUTOMATIC,62969,16990,SA,2005
2009 Ford Fiesta,blue,PETROL,FORD,FIESTA,AUTOMATIC,131200,4000,VIC,2009
2011 Toyota Corolla,silver,PETROL,TOYOTA,COROLLA,AUTOMATIC,83000,12500,SA,2011
1987 Toyota Corolla,beige,PETROL,TOYOTA,COROLLA,MANUAL,180000,6000,SA,1987
2000 Subaru Forester,grey,OTHER,SUBARU,FORESTER,MANUAL,300,2900,SA,2000
2011 Volkswagen Eos,red,PETROL,VOLKSWAGEN,EOS,AUTOMATIC,72500,13950,SA,2011
1986 Toyota Ae82 corolla twin cam ,red,PETROL,TOYOTA,COROLLA,MANUAL,123456,12000,SA,1986
2008 Mitsubishi Lancer,blue,PETROL,MITSUBISHI,LANCER,AUTOMATIC,169037,8999,SA,2008
2006 Holden Commodore,white,PETROL,HOLDEN,COMMODORE,AUTOMATIC,289890,5000,SA,2006
2012 Renault Master,yellow,DIESEL,RENAULT,MASTER,AUTOMATIC,370000,10750,SA,2012
2017 Nissan Qashqai,black,OTHER,NISSAN,QASHQAI,AUTOMATIC,198000,12500,SA,2017
1997 Mitsubishi Delica,silver,PETROL,MITSUBISHI,DELICA,AUTOMATIC,293000,6500,SA,1997
2006 Nissan Navara,white,DIESEL,NISSAN,NAVARA,MANUAL,320000,7500,SA,2006
2022 BMW X3,blue,DIESEL,BMW,X3,AUTOMATIC,81000,45000,SA,2022
2023 Mitsubishi Eclipse Cross,white,HYBRID,MITSUBISHI,ECLIPSE CROSS,AUTOMATIC,30000,36000,SA,2023
2016 Land Rover Range Rover Sport,grey,DIESEL,LAND-ROVER,RANGE ROVER SPORT,AUTOMATIC,216583,26990,WA,2016
2015 Kia Optima,red,PETROL,KIA,OPTIMA,AUTOMATIC,188000,10000,WA,2015
2014 Holden LT HOLDEN CAPTIVA,silver,PETROL,HOLDEN,CAPTIVA,AUTOMATIC,73000,9000,WA,2014
2016 Toyota Camry,silver,PETROL,TOYOTA,CAMRY,AUTOMATIC,110000,19500,WA,2016
2014 Audi Q3,white,PETROL,AUDI,Q3,AUTOMATIC,180056,12990,WA,2014
2009 Toyota Landcruiser Prado,white,DIESEL,TOYOTA,LANDCRUISER,MANUAL,337000,17300,WA,2009
2006 Volkswagen Transporter,silver,DIESEL,VOLKSWAGEN,TRANSPORTER,MANUAL,291000,10000,WA,2006
2014 BMW X5,silver,DIESEL,BMW,X5,AUTOMATIC,185807,19990,WA,2014
2004 Ford Falcon,white,PETROL,FORD,FALCON,AUTOMATIC,197266,2500,WA,2004
2010 Kia Cerato,silver,PETROL,KIA,CERATO,AUTOMATIC,123000,12990,WA,2010
2013 Hyundai Ix35,grey,PETROL,HYUNDAI,IX35,AUTOMATIC,183236,10999,SA,2013
2009 Nissan Navara,white,DIESEL,NISSAN,NAVARA,AUTOMATIC,298000,10800,WA,2009
2004 Toyota 105 landcruiser,white,DIESEL,TOYOTA,LANDCRUISER,MANUAL,297746,19500,WA,2004
2009 Volkswagen Transporter ,gold,DIESEL,VOLKSWAGEN,TRANSPORTER,MANUAL,186000,5800,WA,2009
1986 Holden Commodore,white,OTHER,HOLDEN,COMMODORE,MANUAL,151000,29000,WA,1986
2018 Lexus Lexus NX 300,white,PETROL,LEXUS,NX,AUTOMATIC,122000,31500,QLD,2018
2002 Honda Civic,white,OTHER,HONDA,CIVIC,MANUAL,180000,18500,QLD,2002
1993 Nissan Patrol,white,OTHER,NISSAN,PATROL,MANUAL,369675,5500,WA,1993
2009 Volkswagen Golf,black,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,152000,6995,QLD,2009
2012 Ford Mondeo,white,DIESEL,FORD,MONDEO,AUTOMATIC,270000,4200,WA,2012
2009 Volkswagen Caravelle,blue,DIESEL,VOLKSWAGEN,CARAVELLE,AUTOMATIC,230736,12990,QLD,2009
2007 Holden Calais,burgundy,PETROL,HOLDEN,CALAIS,MANUAL,300000,18000,QLD,2007
2015 Holden 2015 Holden Cruze,white,PETROL,HOLDEN,CRUZE,AUTOMATIC,147000,7500,QLD,2015
2015 Volkswagen Multivan TDI340 Comfortline,silver,DIESEL,VOLKSWAGEN,MULTIVAN,AUTOMATIC,216000,18999,QLD,2015
2014 Audi q7 (v8 twin turbo 4.2tdi),white,DIESEL,AUDI,Q7,AUTOMATIC,172536,24000,QLD,2014
2014 Ford Ranger,white,DIESEL,FORD,RANGER,AUTOMATIC,125000,25000,QLD,2014
2013 Nissan x-trail wagon,black,PETROL,NISSAN,X-TRAIL,AUTOMATIC,194000,12000,QLD,2013
2018 Nissan Navara,silver,DIESEL,NISSAN,NAVARA,AUTOMATIC,118000,18000,QLD,2018
2005 Toyota Landcruiser Prado,silver,PETROL,TOYOTA,LANDCRUISER,AUTOMATIC,342000,9750,QLD,2005
2021 Mitsubishi Triton,white,DIESEL,MITSUBISHI,TRITON,AUTOMATIC,73011,31900,QLD,2021
2016 BMW X4,blue,DIESEL,BMW,X4,AUTOMATIC,134000,22000,QLD,2016
2009 Toyota RAV4,grey,OTHER,TOYOTA,RAV4,AUTOMATIC,292000,8500,QLD,2009
"2017 Hyundai santa fe ""elite""",white,DIESEL,HYUNDAI,SANTA FE,AUTOMATIC,160688,21000,NSW,2017
2012 Subaru Impreza,silver,PETROL,SUBARU,IMPREZA,MANUAL,215000,4800,NSW,2012
2011 BMW series 3,grey,DIESEL,BMW,SERIES 3,AUTOMATIC,184000,7000,NSW,2011
2011 Renault Megane,black,PETROL,RENAULT,MEGANE,MANUAL,261000,3200,NSW,2011
2009 Toyota Corolla,black,PETROL,TOYOTA,COROLLA,MANUAL,200000,6800,WA,2009
2004 Honda Accord,white,PETROL,HONDA,ACCORD,AUTOMATIC,300000,4000,NSW,2004
2005 Mitsubishi Grandis,silver,PETROL,MITSUBISHI,GRANDIS,AUTOMATIC,250000,4500,NSW,2005
2019 BMW X3,silver,PETROL,BMW,X3,AUTOMATIC,77000,39500,NSW,2019
2016 Honda Jazz,blue,OTHER,HONDA,JAZZ,AUTOMATIC,121168,15500,NSW,2016
2013 Toyota Hilux,white,PETROL,TOYOTA,HILUX,AUTOMATIC,289888,12000,NSW,2013
2006 Toyota Hilux,gold,DIESEL,TOYOTA,HILUX,MANUAL,330000,15000,NSW,2006
2014 BMW M135i,blue,OTHER,BMW,SERIES 1,AUTOMATIC,117000,23000,NSW,2014
2014 Volkswagen Golf,red,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,200000,11000,NSW,2014
2004 Ford Falcon,grey,OTHER,FORD,FALCON,AUTOMATIC,222292,17800,NSW,2004
2004 Toyota Landcruiser Prado,white,DIESEL,TOYOTA,LANDCRUISER,MANUAL,309000,10500,NSW,2004
2012 Hyundai Veloster,black,PETROL,HYUNDAI,VELOSTER,MANUAL,90235,8999,SA,2012
2008 Volkswagen Golf,charcoal,DIESEL,VOLKSWAGEN,GOLF,AUTOMATIC,291933,6000,VIC,2008
2014 Ford Ranger,white,DIESEL,FORD,RANGER,AUTOMATIC,196000,15000,QLD,2014
2014 Volvo S60,silver,PETROL,VOLVO,S60,AUTOMATIC,104600,10900,NSW,2014
2009 BMW X3,black,DIESEL,BMW,X3,AUTOMATIC,183000,7800,VIC,2009
1997 Nissan Patrol,white,DIESEL,NISSAN,PATROL,MANUAL,300000,35000,VIC,1997
2013 Mercedes-Benz Mercedes-Benz 350SL,black,PETROL,MERCEDES-BENZ,SL,AUTOMATIC,48680,44999,VIC,2013
2004 Toyota Landcruiser Prado,silver,OTHER,TOYOTA,LANDCRUISER,AUTOMATIC,275000,15000,VIC,2004
2016 Nissan X-Trail,grey,DIESEL,NISSAN,X-TRAIL,MANUAL,214563,13990,VIC,2016
2014 Mitsubishi Outlander,white,OTHER,MITSUBISHI,OUTLANDER,AUTOMATIC,103001,12500,QLD,2014
"2004 Toyota camry sportivo, auto",white,PETROL,TOYOTA,CAMRY,AUTOMATIC,340000,6499,VIC,2004
2013 Ford Fiesta,grey,PETROL,FORD,FIESTA,MANUAL,204253,3000,VIC,2013
2012 Mazda BT50,blue,DIESEL,MAZDA,BT-50,AUTOMATIC,219000,16999,VIC,2012
2009 Holden Captiva,silver,DIESEL,HOLDEN,CAPTIVA,AUTOMATIC,190000,3999,VIC,2009
2021 Nissan JUKE,black,PETROL,NISSAN,JUKE,AUTOMATIC,42700,24800,VIC,2021
2012 Mazda CX-9,silver,PETROL,MAZDA,CX-9,AUTOMATIC,145000,14000,VIC,2012
1996 Holden Calais,white,PETROL,HOLDEN,CALAIS,AUTOMATIC,280000,5499,VIC,1996
2004 Nissan Navara,silver,DIESEL,NISSAN,NAVARA,MANUAL,365000,7500,QLD,2004
2013 Mercedes-Benz CLA45 AMG,white,PETROL,MERCEDES-BENZ,A-CLASS,AUTOMATIC,138000,31000,VIC,2013
2014 Hyundai Accent,white,PETROL,HYUNDAI,ACCENT,AUTOMATIC,186000,8250,VIC,2014
2008 Toyota Hiace,white,PETROL,TOYOTA,HIACE,AUTOMATIC,247000,19600,QLD,2008
2014 Volkswagen golf 90 tsi comfortline,white,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,132243,11990,QLD,2014
2011 Volkswagen Golf,silver,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,101000,8000,VIC,2011
2002 Toyota Crown,silver,PETROL,TOYOTA,CROWN,AUTOMATIC,11400,26600,QLD,2002
2014 Hyundai i40,silver,DIESEL,HYUNDAI,I40,AUTOMATIC,200000,3000,QLD,2014
2016 BMW M roadster,orange,PETROL,BMW,M ROADSTER,AUTOMATIC,86210,66799,QLD,2016
2020 Suzuki Jimny,beige,PETROL,SUZUKI,JIMNY,AUTOMATIC,32000,32999,QLD,2020
2018 Isuzu mu-x ls-t wagon 7st 5dr rev-tronic 6sp 4x4 3.0dt [my18],grey,DIESEL,ISUZU,MU-X,AUTOMATIC,112497,31990,QLD,2018
1979 Toyota FJ Cruiser,blue,DIESEL,TOYOTA,FJ CRUISER,MANUAL,1234,4000,QLD,1979
2019 Ford ranger xls,black,DIESEL,FORD,RANGER,AUTOMATIC,147967,29990,QLD,2019
2012 Toyota Corolla,grey,PETROL,TOYOTA,COROLLA,MANUAL,215000,9500,QLD,2012
2009 Nissan Navara,grey,DIESEL,NISSAN,NAVARA,MANUAL,256000,8900,QLD,2009
2002 Toyota Auto. Corolla,white,PETROL,TOYOTA,COROLLA,AUTOMATIC,333247,4000,WA,2002
2010 Mazda CX-7,grey,PETROL,MAZDA,CX-7,AUTOMATIC,233000,5700,WA,2010
2006 Mitsubishi Lancer,black,PETROL,MITSUBISHI,LANCER,AUTOMATIC,193000,2700,WA,2006
2012 Nissan Navara,silver,DIESEL,NISSAN,NAVARA,MANUAL,297000,11500,WA,2012
2002 Holden Commodore,silver,PETROL,HOLDEN,COMMODORE,AUTOMATIC,666666,7000,QLD,2002
2022 Toyota Landcruiser,white,DIESEL,TOYOTA,LANDCRUISER,MANUAL,67015,114989,WA,2022
2017 Hyundai Accent,grey,PETROL,HYUNDAI,ACCENT,MANUAL,106700,12900,WA,2017
2011 Holden Cruze,silver,PETROL,HOLDEN,CRUZE,AUTOMATIC,159000,6900,WA,2011
"2016 BMW X1 sDrive18d M-Sport, Roof!",white,DIESEL,BMW,X1,AUTOMATIC,131625,17999,QLD,2016
2003 Holden Commodore,grey,PETROL,HOLDEN,COMMODORE,AUTOMATIC,310000,2500,WA,2003
2005 Mercedes-Benz Mercedes-Benz 230SL,black,PETROL,MERCEDES-BENZ,SL,AUTOMATIC,259000,14500,WA,2005
2006 Mitsubishi Outlander,black,PETROL,MITSUBISHI,OUTLANDER,AUTOMATIC,280000,2750,WA,2006
2023 Ford Mustang,black,PETROL,FORD,MUSTANG,AUTOMATIC,23000,71000,WA,2023
2015 MINI Countryman,grey,PETROL,MINI,COUNTRYMAN,MANUAL,131000,13500,SA,2015
2012 Suzuki Swift,red,PETROL,SUZUKI,SWIFT,MANUAL,148000,9000,SA,2012
2003 Toyota Camry,green,PETROL,TOYOTA,CAMRY,AUTOMATIC,220000,2900,SA,2003
2009 Toyota Corolla,silver,PETROL,TOYOTA,COROLLA,AUTOMATIC,170000,10200,SA,2009
2003 Nissan skyline 350GT,white,PETROL,NISSAN,SKYLINE 350GT,AUTOMATIC,230000,8000,WA,2003
2011 Subaru Forester,blue,PETROL,SUBARU,FORESTER,AUTOMATIC,300000,5900,SA,2011
2016 Toyota Yaris,red,PETROL,TOYOTA,YARIS,AUTOMATIC,203624,11000,SA,2016
2012 Subaru xv 2.0 litre. 6 speed manual country car and drives sensational. clear ppsr value,orange,PETROL,SUBARU,XV,MANUAL,293025,8999,SA,2012
2013 Volkswagen amarok tdi420 4x4 auto dual cab t/diesel dual cab ute,grey,DIESEL,VOLKSWAGEN,AMAROK,AUTOMATIC,210571,17999,SA,2013
2013 Hyundai VELOSTER,blue,PETROL,HYUNDAI,VELOSTER,AUTOMATIC,181010,11990,SA,2013
2012 Subaru Legacy Touring Wagon 2.0GT DIT ,blue,PETROL,SUBARU,LEGACY TOURING WAGON 2.0GT DIT,AUTOMATIC,55262,24990,SA,2012
1988 Toyota landcruiser tray top,white,DIESEL,TOYOTA,LANDCRUISER,MANUAL,469370,8990,SA,1988
2003 Honda ACCORD EURO R CL7,red,PETROL,HONDA,ACCORD,MANUAL,131300,21990,SA,2003
"2020 Nissan  JUKE F16 TURBO 7 SPEED AUTO, HATCHBACK 34,076 KMS LOCATED IN LONSDALE ",black,PETROL,NISSAN,JUKE,AUTOMATIC,34076,22990,SA,2020
2022 Toyota Landcruiser Prado 150 - LOW KM + Lots Of Extras,black,DIESEL,TOYOTA,LANDCRUISER,AUTOMATIC,30000,81000,SA,2022
1990 Toyota Landcruiser,grey,DIESEL,TOYOTA,LANDCRUISER,MANUAL,500000,27000,SA,1990
2016 BMW X3,blue,DIESEL,BMW,X3,AUTOMATIC,120000,24000,SA,2016
2004 Holden STATESMAN,blue,OTHER,HOLDEN,STATESMAN,AUTOMATIC,297000,11999,SA,2004
2008 Mitsubishi Lancer,silver,OTHER,MITSUBISHI,LANCER,AUTOMATIC,196000,4000,NSW,2008
2015 Hyundai Veloster,black,PETROL,HYUNDAI,VELOSTER,AUTOMATIC,105000,15000,NSW,2015
2005 Subaru FORESTER XS MY05 SN2415K,white,PETROL,SUBARU,FORESTER,AUTOMATIC,252472,5995,NSW,2005
2015 Audi A4,grey,PETROL,AUDI,A4,AUTOMATIC,192000,14999,NSW,2015
2006 Lexus Lexus IS 250,black,PETROL,LEXUS,IS,AUTOMATIC,194223,9500,NSW,2006
2010 Volkswagen Passat,grey,DIESEL,VOLKSWAGEN,PASSAT,AUTOMATIC,285650,4950,NSW,2010
2011 Mitsubishi Pajero NT,grey,DIESEL,MITSUBISHI,PAJERO,AUTOMATIC,293000,18950,SA,2011
2013 Mitsubishi triton,silver,DIESEL,MITSUBISHI,TRITON,MANUAL,290000,13000,SA,2013
2016 Volkswagen Golf,white,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,210000,21000,NSW,2016
2001 Holden Commodore,silver,OTHER,HOLDEN,COMMODORE,MANUAL,255000,17000,NSW,2001
2010 Holden LOOKING FOR commodore ute ve manual ,white,OTHER,HOLDEN,COMMODORE,MANUAL,90990,13000,SA,2010
2019 Honda Civic Type R (FK8),red,PETROL,HONDA,CIVIC TYPE R,MANUAL,25000,49990,NSW,2019
2005 Holden Commodore,black,PETROL,HOLDEN,COMMODORE,AUTOMATIC,265000,12345,SA,2005
2012 Holden Captiva,grey,PETROL,HOLDEN,CAPTIVA,AUTOMATIC,117783,5500,NSW,2012
2001 Holden Commodore,silver,PETROL,HOLDEN,COMMODORE,AUTOMATIC,410000,3000,NSW,2001
2014 Audi Q3,silver,DIESEL,AUDI,Q3,AUTOMATIC,200000,9000,NSW,2014
2008 Hyundai Tucson,silver,PETROL,HYUNDAI,TUCSON,MANUAL,285000,3995,NSW,2008
2015 Mazda MX-5,white,OTHER,MAZDA,MX-5,AUTOMATIC,75000,27800,VIC,2015
2012 Volkswagen Tiguan,black,PETROL,VOLKSWAGEN,TIGUAN,AUTOMATIC,267800,4100,VIC,2012
2014 Toyota Prius,black,HYBRID,TOYOTA,PRIUS,AUTOMATIC,120078,14850,VIC,2014
2012 Volkswagen POLO TRENDLINE 6R AUTO MY13,black,PETROL,VOLKSWAGEN,POLO,AUTOMATIC,110000,10999,SA,2012
2007 Holden Commodore,red,PETROL,HOLDEN,COMMODORE,AUTOMATIC,195000,7000,VIC,2007
2018 Nissan X-Trail,grey,PETROL,NISSAN,X-TRAIL,AUTOMATIC,102000,21000,VIC,2018
1999 Toyota Landcruiser,gold,PETROL,TOYOTA,LANDCRUISER,AUTOMATIC,355146,16600,VIC,1999
2015 Lexus Lexus RX 200t,black,PETROL,LEXUS,RX,AUTOMATIC,171000,27999,VIC,2015
2008 Mazda CX-7,grey,PETROL,MAZDA,CX-7,AUTOMATIC,165000,2500,VIC,2008
2012 Toyota Camry,blue,PETROL,TOYOTA,CAMRY,AUTOMATIC,210000,12700,WA,2012
2022 Isuzu d-max sx,white,DIESEL,ISUZU,D-MAX,AUTOMATIC,192800,24888,VIC,2022
2019 Toyota Corolla,green,HYBRID,TOYOTA,COROLLA,AUTOMATIC,125000,24500,VIC,2019
2009 Lexus RX350,black,PETROL,LEXUS,RX,AUTOMATIC,283277,11900,WA,2009
2011 Mitsubishi Pajero,grey,OTHER,MITSUBISHI,PAJERO,AUTOMATIC,285000,16000,WA,2011
2004 Kia Rio,grey,PETROL,KIA,RIO,AUTOMATIC,245000,3000,WA,2004
2013 Alfa Romeo Giulietta,brown,PETROL,ALFA-ROMEO,GIULIETTA,MANUAL,118000,5500,WA,2013
2007 Toyota Hiace Commuter Bus,white,OTHER,TOYOTA,HIACE,AUTOMATIC,225000,21999,VIC,2007
2014 Renault Megane,black,PETROL,RENAULT,MEGANE,AUTOMATIC,22500,8999,VIC,2014
2013 Mercedes-Benz Mercedes-Benz C230,black,PETROL,MERCEDES-BENZ,MERCEDES-BENZ C230,AUTOMATIC,184554,18000,VIC,2013
2010 Mercedes-Benz Mercedes-Benz 220SE,black,DIESEL,MERCEDES-BENZ,MERCEDES-BENZ 220SE,AUTOMATIC,229000,6999,VIC,2010
2008 Volkswagen Jetta,black,PETROL,VOLKSWAGEN,JETTA,AUTOMATIC,250030,3500,VIC,2008
2016 Holden Captiva,blue,DIESEL,HOLDEN,CAPTIVA,AUTOMATIC,129000,12500,VIC,2016
2003 Ford BA Falcon XR8,blue,PETROL,FORD,FALCON,MANUAL,199000,19999,VIC,2003
2008 Volkswagen Golf,red,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,158100,6500,VIC,2008
2013 Toyota RAV4,black,PETROL,TOYOTA,RAV4,AUTOMATIC,103625,18500,VIC,2013
2021 Nissan Qashqai Series 3 Ti SUV Automatic,grey,PETROL,NISSAN,QASHQAI,AUTOMATIC,90505,26950,VIC,2021
2006 Nissan Navara,black,DIESEL,NISSAN,NAVARA,MANUAL,304000,7500,VIC,2006
2021 Subaru BRZ,grey,PETROL,SUBARU,BRZ,AUTOMATIC,34159,38000,VIC,2021
2024 Toyota Hilux SR5 48V Dual Cab 4x4 Automatic,grey,DIESEL,TOYOTA,HILUX,AUTOMATIC,30183,65950,VIC,2024
2007 Lexus RX400H,gold,PETROL,LEXUS,RX,AUTOMATIC,296500,8000,VIC,2007
2017 Hyundai Santa Fe,white,DIESEL,HYUNDAI,SANTA FE,AUTOMATIC,110000,7500,VIC,2017
2017 Mazda CX-3,white,PETROL,MAZDA,CX-3,AUTOMATIC,182385,14490,VIC,2017
2020 Nissan Pathfinder,red,PETROL,NISSAN,PATHFINDER,AUTOMATIC,160000,15000,VIC,2020
2014 Jeep Cherokee,black,PETROL,JEEP,CHEROKEE,AUTOMATIC,148000,9500,VIC,2014
2017 Honda Odyssey (Hybrid) -7 Seater,white,HYBRID,HONDA,ODYSSEY,AUTOMATIC,133000,22500,VIC,2017
2016 Holden trax ltz turbo,grey,PETROL,HOLDEN,TRAX,AUTOMATIC,93400,11490,VIC,2016
2018 Subaru Outback,white,PETROL,SUBARU,OUTBACK,AUTOMATIC,156000,19950,WA,2018
2015 Hyundai Elantra,red,PETROL,HYUNDAI,ELANTRA,AUTOMATIC,173000,8500,WA,2015
2011 Honda Accord,grey,PETROL,HONDA,ACCORD,AUTOMATIC,227000,8500,VIC,2011
2015 Ford Kuga,white,PETROL,FORD,KUGA,AUTOMATIC,80000,20000,VIC,2015
2016 Holden Commodore,black,OTHER,HOLDEN,COMMODORE,AUTOMATIC,280000,5000,VIC,2016
2012 Hyundai i20,red,PETROL,HYUNDAI,I20,MANUAL,189000,5300,SA,2012
2012 Hyundai i20,white,PETROL,HYUNDAI,I20,MANUAL,196000,5000,SA,2012
2008 Volkswagen Jetta,black,DIESEL,VOLKSWAGEN,JETTA,AUTOMATIC,232000,3500,SA,2008
2009 Holden Holden Colorado,white,DIESEL,HOLDEN,COLORADO,AUTOMATIC,268000,18000,SA,2009
2019 Toyota Camry,white,OTHER,TOYOTA,CAMRY,AUTOMATIC,52000,28500,SA,2019
1999 Ford Falcon,white,PETROL,FORD,FALCON,AUTOMATIC,1234,7000,SA,1999
2010 Ford falcon - xr8,blue,PETROL,FORD,FALCON,AUTOMATIC,240000,19000,SA,2010
1965 Chrysler Valiant,white,PETROL,CHRYSLER,VALIANT,AUTOMATIC,24000,25000,SA,1965
2014 Jeep Wrangler,black,PETROL,JEEP,WRANGLER,AUTOMATIC,95000,27500,SA,2014
2024 Nissan Patrol,grey,PETROL,NISSAN,PATROL,AUTOMATIC,14055,104999,SA,2024
2014 Ford Territory,white,OTHER,FORD,TERRITORY,AUTOMATIC,190000,8500,SA,2014
2018 Volkswagen Tiguan,white,PETROL,VOLKSWAGEN,TIGUAN,AUTOMATIC,70000,27900,SA,2018
2021 Kia Sportage,white,PETROL,KIA,SPORTAGE,AUTOMATIC,58687,23990,SA,2021
2008 Nissan Navara,silver,DIESEL,NISSAN,NAVARA,AUTOMATIC,310000,9000,SA,2008
2005 Toyota MR2,grey,PETROL,TOYOTA,MR2,MANUAL,388000,8999,SA,2005
2004 Isuzu frr500,white,DIESEL,ISUZU,FRR500,MANUAL,593000,25750,SA,2004
2012 Holden cruze,black,PETROL,HOLDEN,CRUZE,AUTOMATIC,153000,4950,SA,2012
2007 Toyota Camry,white,PETROL,TOYOTA,CAMRY,AUTOMATIC,253100,7250,SA,2007
2014 Hyundai Ix35,white,OTHER,HYUNDAI,IX35,AUTOMATIC,202000,8500,SA,2014
2000 Holden Rodeo,white,PETROL,HOLDEN,RODEO,MANUAL,330000,3500,QLD,2000
2007 Holden Calais,silver,PETROL,HOLDEN,CALAIS,AUTOMATIC,213000,12000,QLD,2007
2018 Volkswagen Passat,white,PETROL,VOLKSWAGEN,PASSAT,AUTOMATIC,79000,20000,VIC,2018
2019 Toyota Camry,red,HYBRID,TOYOTA,CAMRY,AUTOMATIC,95375,25500,QLD,2019
2000 Nissan Patrol,white,DIESEL,NISSAN,PATROL,AUTOMATIC,304000,13500,QLD,2000
2016 Mercedes-Benz cla45 amg shooting brake,silver,PETROL,MERCEDES-BENZ,CLA,AUTOMATIC,154000,28500,QLD,2016
2022 Volkswagen Amarok,blue,DIESEL,VOLKSWAGEN,AMAROK,AUTOMATIC,31520,62000,QLD,2022
1986 Ford Falcon,white,PETROL,FORD,FALCON,AUTOMATIC,407982,11500,QLD,1986
2020 Kia Seltos,white,PETROL,KIA,SELTOS,AUTOMATIC,67800,21900,QLD,2020
2022 Hyundai i30,white,PETROL,HYUNDAI,I30,AUTOMATIC,104104,18999,QLD,2022
2012 Škoda octavia vrs,white,DIESEL,ŠKODA,OCTAVIA,AUTOMATIC,109000,7990,QLD,2012
2013 Ford Ranger,white,DIESEL,FORD,RANGER,AUTOMATIC,235000,10000,QLD,2013
2011 Hyundai Elantra,blue,PETROL,HYUNDAI,ELANTRA,AUTOMATIC,130000,10499,QLD,2011
2017 Honda Jazz,blue,PETROL,HONDA,JAZZ,AUTOMATIC,66000,16500,QLD,2017
2021 Hyundai Kona,white,PETROL,HYUNDAI,KONA,AUTOMATIC,137230,19000,QLD,2021
2022 Toyota Hilux,white,DIESEL,TOYOTA,HILUX,AUTOMATIC,66000,37500,QLD,2022
2017 Hyundai Hyundai iLOAD,white,PETROL,HYUNDAI,ILOAD,MANUAL,191000,15900,QLD,2017
2018 BMW X5,blue,DIESEL,BMW,X5,AUTOMATIC,113958,53500,QLD,2018
2013 Suzuki Swift,grey,PETROL,SUZUKI,SWIFT,MANUAL,208000,5000,WA,2013
2019 Mercedes-Benz glc300,black,PETROL,MERCEDES-BENZ,GLC,AUTOMATIC,82879,39000,QLD,2019
2019 Ford Ranger,grey,DIESEL,FORD,RANGER,AUTOMATIC,94000,34000,QLD,2019
2000 Holden Commodore,blue,OTHER,HOLDEN,COMMODORE,AUTOMATIC,290000,4000,WA,2000
2023 LDV g10+,white,DIESEL,LDV,G10,AUTOMATIC,95000,24500,QLD,2023
2016 Toyota RAV4,grey,PETROL,TOYOTA,RAV4,AUTOMATIC,97000,25000,WA,2016
1999 Ford Falcon,white,PETROL,FORD,FALCON,AUTOMATIC,700000,6700,WA,1999
1974 Holden Holden HQ,grey,PETROL,HOLDEN,HOLDEN HQ,MANUAL,5000,28500,WA,1974
2012 Hyundai Ix35,silver,PETROL,HYUNDAI,IX35,AUTOMATIC,163000,7400,WA,2012
1979 Holden Holden HZ,silver,OTHER,HOLDEN,HOLDEN HZ,AUTOMATIC,5000,100000,WA,1979
2008 Audi S3,white,PETROL,AUDI,S3,MANUAL,280000,4000,WA,2008
2019 Ford Ranger,grey,DIESEL,FORD,RANGER,AUTOMATIC,88000,38000,WA,2019
2015 Isuzu MU-X,white,DIESEL,ISUZU,MU-X,AUTOMATIC,170228,28888,WA,2015
2016 Hyundai Sonata,silver,PETROL,HYUNDAI,SONATA,AUTOMATIC,360000,5500,WA,2016
2013 Ford Territory,grey,PETROL,FORD,TERRITORY,AUTOMATIC,243800,5800,WA,2013
2010 Toyota RAV4,grey,PETROL,TOYOTA,RAV4,AUTOMATIC,171000,10000,WA,2010
2017 Mitsubishi ASX,red,PETROL,MITSUBISHI,ASX,AUTOMATIC,218000,12800,NSW,2017
2002 Audi TT,black,PETROL,AUDI,TT,MANUAL,118000,9999,NSW,2002
1998 BMW E36,blue,OTHER,BMW,SERIES 3,MANUAL,180000,13500,NSW,1998
2019 Toyota Hilux,white,DIESEL,TOYOTA,HILUX,AUTOMATIC,91000,55000,NSW,2019
2005 Mazda Bravo,red,PETROL,MAZDA,BRAVO,MANUAL,200000,3900,NSW,2005
2019 Ford Mustang,red,PETROL,FORD,MUSTANG,MANUAL,89597,48000,NSW,2019
2013 Toyota Hilux,blue,DIESEL,TOYOTA,HILUX,MANUAL,27000,25000,NSW,2013
2002 Volkswagen Bora,black,PETROL,VOLKSWAGEN,BORA,AUTOMATIC,73000,7000,NSW,2002
2003 Ford Fairlane,blue,PETROL,FORD,FAIRLANE,AUTOMATIC,123000,18450,NSW,2003
2022 Kia Sorento,blue,DIESEL,KIA,SORENTO,AUTOMATIC,60000,48000,NSW,2022
2015 Nissan 370Z,white,PETROL,NISSAN,370Z,AUTOMATIC,98500,29900,NSW,2015
