marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_model_display_name,vehicle_transmission_type,kms,price,state,year
2013 Mitsubishi triton glxr,grey,DIESEL,MITSUBISHI,TRITON,AUTOMATIC,207000,16500,QLD,2013
2003 Nissan Pulsar,brown,PETROL,NISSAN,PULSAR,AUTOMATIC,200000,3000,QLD,2003
2024 Toyota  Hilux 4x4,white,DIESEL,TOYOTA,HILUX,AUTOMATIC,9000,45000,QLD,2024
2022 Ford Ranger Raptor Only 17000kms,orange,PETROL,FORD,RANGER,AUTOMATIC,17000,78800,QLD,2022
2012 Toyota Landcruiser Prado,white,OTHER,TOYOTA,LANDCRUISER,AUTOMATIC,293000,26000,QLD,2012
1989 Toyota Cressida,silver,PETROL,TOYOTA,CRESSIDA,AUTOMATIC,221710,11000,QLD,1989
2012 Ford Focus ,white,PETROL,FORD,FOCUS,AUTOMATIC,112440,9500,QLD,2012
2018 LDV g10 mini bus ,grey,PETROL,LDV,G10,AUTOMATIC,67303,22500,QLD,2018
2005 Subaru Impreza,blue,PETROL,SUBARU,IMPREZA,MANUAL,380000,6000,QLD,2005
2021 Toyota hilux rogue,white,DIESEL,TOYOTA,HILUX,AUTOMATIC,99000,59999,QLD,2021
1999 Holden Commodore,grey,PETROL,HOLDEN,COMMODORE,AUTOMATIC,281000,3500,QLD,1999
2013 Toyota Estima Hybrid,grey,HYBRID,TOYOTA,ESTIMA,AUTOMATIC,100537,26990,QLD,2013
2016 Nissan juke ti-s turbo awd,grey,PETROL,NISSAN,JUKE,AUTOMATIC,85100,15000,QLD,2016
2006 Ford Fiesta,red,PETROL,FORD,FIESTA,MANUAL,159386,3900,QLD,2006
2005 Ford  Bf xr6 falcon,black,PETROL,FORD,FALCON,AUTOMATIC,300,123456,QLD,2005
1997 Mitsubishi Pajero,white,PETROL,MITSUBISHI,PAJERO,MANUAL,365500,5300,QLD,1997
2022 Haval Jolion ,grey,PETROL,HAVAL,JOLION,AUTOMATIC,51851,22990,QLD,2022
2024 Hyundai i30,white,PETROL,HYUNDAI,I30,AUTOMATIC,5000,23500,QLD,2024
2014 Hyundai Accent,white,PETROL,HYUNDAI,ACCENT,AUTOMATIC,179919,8000,QLD,2014
2013 Toyota estima,grey,HYBRID,TOYOTA,ESTIMA,AUTOMATIC,100481,26990,QLD,2013
2019 Honda Civic,white,PETROL,HONDA,CIVIC,AUTOMATIC,89000,20999,QLD,2019
2023 Kia Rio,blue,PETROL,KIA,RIO,AUTOMATIC,36397,22500,QLD,2023
2015 Honda CR-V,blue,PETROL,HONDA,CR-V,AUTOMATIC,208259,15990,QLD,2015
"2007 Lexus rx400h hybrid auto suv luxury. new 3 months rego, rwc, clear ppsr & 1 year extended warranty inc",white,HYBRID,LEXUS,RX,AUTOMATIC,322198,8940,QLD,2007
2003 MINI Cooper,grey,OTHER,MINI,COOPER,MANUAL,250000,7000,QLD,2003
2017 Holden Astra,white,PETROL,HOLDEN,ASTRA,AUTOMATIC,152000,12550,QLD,2017
2005 Jeep Grand Cherokee,black,DIESEL,JEEP,GRAND CHEROKEE,AUTOMATIC,225000,3500,QLD,2005
2013 Mazda CX-5,white,PETROL,MAZDA,CX-5,AUTOMATIC,133000,12600,QLD,2013
2008 Holden Commodore,green,PETROL,HOLDEN,COMMODORE,AUTOMATIC,278941,5000,QLD,2008
2016 Hyundai Santa Fe,blue,DIESEL,HYUNDAI,SANTA FE,AUTOMATIC,120000,22000,QLD,2016
2002 Toyota Landcruiser Prado,grey,DIESEL,TOYOTA,LANDCRUISER,AUTOMATIC,458000,6500,QLD,2002
2005 Hyundai Getz SXI AUTO REGO & RWC GETZ,black,PETROL,HYUNDAI,GETZ,AUTOMATIC,260000,2999,QLD,2005
2010 Toyota RAV4,red,PETROL,TOYOTA,RAV4,MANUAL,380000,6000,QLD,2010
2022 Ford Ranger,white,DIESEL,FORD,RANGER,AUTOMATIC,790000,51000,QLD,2022
2024 Kia ev6,silver,ELECTRIC,KIA,EV6,AUTOMATIC,6200,48000,QLD,2024
1997 Chevrolet Silverado,red,PETROL,CHEVROLET,SILVERADO,AUTOMATIC,50000,51000,QLD,1997
2017 BMW X4,black,DIESEL,BMW,X4,AUTOMATIC,69405,41000,QLD,2017
2024 Jeep Grand Cherokee,white,PETROL,JEEP,GRAND CHEROKEE,AUTOMATIC,26000,76000,QLD,2024
2018 Toyota Yaris,red,OTHER,TOYOTA,YARIS,AUTOMATIC,92000,17500,QLD,2018
2021 Isuzu dmax,white,DIESEL,ISUZU,DMAX,AUTOMATIC,71000,60000,QLD,2021
2022 Toyota Yaris,white,PETROL,TOYOTA,YARIS,AUTOMATIC,52313,29000,QLD,2022
2019 BMW X7 m50d,grey,DIESEL,BMW,M5,AUTOMATIC,52500,72000,QLD,2019
2008 Renault Scenic,red,PETROL,RENAULT,SCENIC,AUTOMATIC,123000,2500,QLD,2008
2019 Mitsubishi ASX,white,PETROL,MITSUBISHI,ASX,AUTOMATIC,83000,20500,QLD,2019
2020 LDV g10,white,DIESEL,LDV,G10,AUTOMATIC,70000,21500,QLD,2020
2019 BMW X4,white,PETROL,BMW,X4,AUTOMATIC,106000,41500,QLD,2019
2022 Chevrolet Silverado,silver,PETROL,CHEVROLET,SILVERADO,AUTOMATIC,54000,102000,QLD,2022
2022 Volvo XC40,grey,PETROL,VOLVO,XC40,AUTOMATIC,46600,41500,QLD,2022
2011 Mitsubishi Lancer,blue,PETROL,MITSUBISHI,LANCER,AUTOMATIC,193000,5000,QLD,2011
2017 Isuzu D-Max,white,DIESEL,ISUZU,D-MAX,AUTOMATIC,244000,27500,QLD,2017
2014 Ford Focus,white,PETROL,FORD,FOCUS,AUTOMATIC,138000,9500,QLD,2014
2018 Hyundai Tucson,grey,DIESEL,HYUNDAI,TUCSON,AUTOMATIC,324000,15750,QLD,2018
2019 Kia Picanto,silver,PETROL,KIA,PICANTO,MANUAL,119000,11399,QLD,2019
2002 Isuzu NKR,white,DIESEL,ISUZU,NKR,MANUAL,348000,12000,QLD,2002
